Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,ManageStaff,DatabaseServers,PopulationOfLargestCityWithin20Miles,Gender,SalaryUSD
United States,Microsoft SQL Server,15,Full time employee,No,500,20K-99K (large town),Male,115000
United States,Other,6,Full time employee,No,1,1M+ (metropolis),Male,100000
Spain,Microsoft SQL Server,2,Full time employee,Yes,1,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,3,Full time employee,No,3,1M+ (metropolis),Male,70000
United States,Oracle,30,Full time employee,No,45,100K-299K (city),Male,110000
United States,Oracle,2,Full time employee,No,4,1M+ (metropolis),Male,79500
United States,Other,4,Full time employee,No,500,100K-299K (city),Male,110000
Portugal,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,Yes,4,300K-1M (large city),Male,39000
United States,Microsoft SQL Server,1,Full time employee,No,3,300K-1M (large city),Male,58000
United States,Microsoft SQL Server,6,Full time employee,No,9,100K-299K (city),Male,125000
United States,Microsoft SQL Server,10,Full time employee,No,2,300K-1M (large city),Male,87500
United States,Microsoft SQL Server,20,Full time employee,Yes,40,1M+ (metropolis),Male,120000
United States,Oracle,15,Full time employee,No,40,20K-99K (large town),Male,158000
United States,Microsoft SQL Server,1,Full time employee,No,50,"<= 20,000 (town)",Female,53000
United Kingdom,Microsoft SQL Server,3,Full time employee,No,21,1M+ (metropolis),Male,49620
United States,Other,4,Full time employee,No,5,20K-99K (large town),Male,88000
Canada,Microsoft SQL Server,15,Full time employee,No,150,300K-1M (large city),Male,84000
Netherlands,Oracle,15,Full time employee,No,2,300K-1M (large city),Male,40000
United Kingdom,Microsoft SQL Server,10,Full time employee,No,12,1M+ (metropolis),Male,64422
Austria,Microsoft SQL Server,20,"Independent consultant, contractor, freelancer,  or company owner",Yes,6,100K-299K (city),Male,105000
Belgium,Microsoft SQL Server,10,Full time employee,Yes,5,100K-299K (city),Male,56000
United States,MySQL/MariaDB,1,Full time employee of a consulting/contracting company,No,10,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,7,Full time employee,No,5,300K-1M (large city),Male,100000
United States,Microsoft SQL Server,18,Full time employee,Yes,7,1M+ (metropolis),Male,128500
United States,Microsoft SQL Server,6,Full time employee,No,12,1M+ (metropolis),Male,64000
United States,Microsoft Access,1,Full time employee,No,3,1M+ (metropolis),Male,75000
United States,Microsoft SQL Server,15,Full time employee,No,2,300K-1M (large city),Male,185000
United Kingdom,Microsoft SQL Server,5,Full time employee,No,12,300K-1M (large city),Male,53500
United States,Microsoft SQL Server,15,Full time employee,No,300,20K-99K (large town),Male,116000
United States,PostgreSQL,0,Full time employee,No,1,1M+ (metropolis),Male,55000
United States,MySQL/MariaDB,1,Full time employee,No,7,100K-299K (city),Male,40000
United States,Microsoft SQL Server,10,Full time employee,No,50,300K-1M (large city),Male,115000
United States,Microsoft SQL Server,2,Full time employee,No,4,300K-1M (large city),Male,53000
United States,Microsoft SQL Server,3,Full time employee,No,20,300K-1M (large city),Male,95000
United States,Oracle,5,Full time employee,Yes,3,1M+ (metropolis),Male,142000
United States,Microsoft SQL Server,6,Full time employee,No,2,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,No,10,1M+ (metropolis),Male,122000
United States,Microsoft SQL Server,1,Full time employee of a consulting/contracting company,Yes,2,20K-99K (large town),Male,60000
United States,Microsoft SQL Server,2,Full time employee,No,60,300K-1M (large city),Female,78000
United Kingdom,Other,1,Full time employee,No,4,1M+ (metropolis),Male,74000
France,Microsoft SQL Server,1,Full time employee of a consulting/contracting company,No,7,1M+ (metropolis),Male,44000
United States,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,No,5,300K-1M (large city),Male,103000
United States,Microsoft SQL Server,3,Full time employee,No,3,1M+ (metropolis),Male,85000
United States,Microsoft SQL Server,20,Full time employee,No,15,100K-299K (city),Male,100000
United Kingdom,Microsoft SQL Server,1,Full time employee,No,100,100K-299K (city),Male,32237
United Kingdom,Microsoft SQL Server,2,Full time employee,Yes,11,20K-99K (large town),Male,66400
United States,Microsoft SQL Server,6,Full time employee,Yes,1,100K-299K (city),Female,85000
Romania,Microsoft SQL Server,6,Full time employee,No,3,300K-1M (large city),Male,56500
Denmark,Microsoft SQL Server,3,Full time employee,No,6,300K-1M (large city),Male,81619
Netherlands,Microsoft SQL Server,20,Full time employee,No,8,300K-1M (large city),Male,66000
United States,Microsoft SQL Server,10,Full time employee,No,15,300K-1M (large city),Male,85000
United States,Microsoft SQL Server,4,Full time employee,Yes,10,300K-1M (large city),Male,81000
United States,Cassandra,5,Full time employee,No,0,1M+ (metropolis),Female,148000
United States,Cassandra,5,Full time employee,No,0,1M+ (metropolis),Female,148000
United States,Microsoft SQL Server,1,Full time employee,No,5,"<= 20,000 (town)",Male,50000
Israel,Microsoft SQL Server,13,Full time employee,No,200,300K-1M (large city),Male,87000
United States,Microsoft SQL Server,1,Full time employee,No,110,300K-1M (large city),Male,55000
United Kingdom,Microsoft SQL Server,4,Full time employee,No,5,100K-299K (city),Male,44000
United States,Microsoft SQL Server,1,Full time employee,No,6,1M+ (metropolis),Male,115000
United States,Amazon RDS (any flavor),3,Full time employee,No,4,1M+ (metropolis),Male,115000
Canada,MySQL/MariaDB,5,Full time employee,No,0,100K-299K (city),Female,80000
United States,Other,10,Full time employee,No,10,1M+ (metropolis),Male,130000
Canada,Microsoft SQL Server,7,Full time employee,No,1,1M+ (metropolis),Male,100000
