Ingles,Portugues
time,tempo
people,pessoas
way,modo
man,homem
work,trabalho
world,mundo
school,escola
food,comida
children,criança
feet,pés
land,terra
side,lado
boy,menino
animals,animais
life,vida
head,cabeça
kind,tipo
page,página
earth,terra
year,ano
mother,mãe
light,luz
parts,partes
picture,imagem
eyes,olhos
times,vezes
help,ajuda
thought,pensamento
show,show
night,noite
little,pouco
good,bom
new,novo
right,direito
old,velho
great,ótimo
small,pequeno
own,próprio
last,passado
left,esquerda
large,grande
important,importante
enough,suficiente
second,segunda
well,bem
next,próximo
high,alta
use,usar
know,saber
get,obter
go,ir
write,escrever
look,olhar
think,pensar
came,veio
come,vir
must,deve
does,faz
went,foi
give,dar
read,ler
might,poderia
saw,viu
asked,perguntou
going,vai
began,começou
got,obteve
need,necessitar
let,deixar
being,sendo
made,feito
take,pegar
set,estabelecer
looked,olhou
some,alguns
who,quem
another,outro
us,nos
something,algo
those,aqueles
