Ingles,Portugues
time,tempo
people,pessoas
way,modo
water,água
words,palavras
man,homem
work,trabalho
house,casa
world,mundo
school,escola
form,forma
food,comida
children,criança
feet,pés
land,terra
side,lado
boy,menino
animals,animais
life,vida
head,cabeça
kind,tipo
page,página
earth,terra
hand,mão
year,ano
mother,mãe
light,luz
parts,partes
country,país
father,pai
picture,imagem
eyes,olhos
times,vezes
help,ajuda
thought,pensamento
show,show
night,noite
story,história
long,extenso
little,pouco
good,bom
new,novo
same,mesmo
right,direito
old,velho
great,ótimo
small,pequeno
big,grande
own,próprio
last,passado
left,esquerda
large,grande
important,importante
enough,suficiente
second,segunda
first,primeiro
well,bem
next,próximo
high,alta
use,usar
know,saber
get,obter
go,ir
write,escrever
look,olhar
think,pensar
came,veio
come,vir
must,deve
does,faz
put,colocar
went,foi
should,deveria
give,dar
read,ler
might,poderia
saw,viu
asked,perguntou
going,vai
want,querer
keep,manter
took,levou
began,começou
got,obteve
need,necessitar
let,deixar
being,sendo
see,ver
made,feito
may,pode
take,pegar
found,encontrado
set,estabelecer
looked,olhou
study,estudar
called,chamou
some,alguns
these,esses
who,quem
me,mim
another,outro
us,nos
something,algo
both,ambos
those,aqueles
